feature_columns,fscores
residence_00000842,5843.20671253
installed,2182.61344585
hometown_00003353,1238.94049348
residence_00000374,1222.82104533
connectionType_1,857.273261172
residence_00000253,717.894263773
positionID_00002579,676.579526328
appCategory_level2_00000004,410.421059401
appCategory_level2_00000007,371.870861504
sitesetID_0,359.754211609
residence_00000836,216.269223201
positionID_00000080,208.060688175
gender_1,196.837756402
hometown_00003144,195.239242943
positionType_5,190.182943656
positionID_00005013,170.193377693
positionID_00004715,153.577760202
ratio_click_user_slide_10,150.301292658
hometown_00003267,149.076978126
positionID_00000069,148.644211208
positionID_00001842,143.816132781
residence_00000375,126.944873611
hometown_00002702,122.681850322
hometown_00003222,121.178304783
appCategory_level2_00000008,118.02898964
hometown_00001776,103.631672209
hometown_00003339,101.716250924
residence_00000382,98.003750286
positionID_00000318,97.1145194574
positionID_00003545,95.7010862135
positionID_00001274,94.1981802545
positionID_00005104,92.2923511489
positionID_00000081,86.4017169288
ratio_buy_app_slide_6,84.9349071085
hometown_00002988,84.8863067062
hometown_00003369,82.5332356804
ratio_click_position_slide_10,80.0725241171
hometown_00002745,75.4299892784
positionID_00004378,75.3996495336
gender_2,74.9915687745
residence_00000673,73.2861306094
residence_00000818,72.6061657343
residence_00001138,71.756406019
hometown_00001390,71.3691802499
positionID_00000323,66.3046879105
positionID_00000022,65.3801278333
ratio_buy_app_slide_10,65.3111786583
positionID_00004748,64.5588780996
hometown_00003344,64.0158807863
hometown_00002570,63.1062623741
positionID_00006567,62.0279094593
residence_00001208,60.5147570773
positionID_00000015,57.3480658608
hometown_00003279,55.9561999664
sitesetID_1,55.2615622102
positionID_00002982,53.5749366947
ratio_click_user_slide_1,53.0885190396
appCategory_level1_00000004,52.2864959202
positionType_0,51.6375238384
positionID_00002193,50.517317823
positionID_00003360,50.279460443
positionID_00001000,50.1979543493
positionID_00004657,50.0433867144
positionID_00003321,48.6498136809
hometown_00002650,47.8370104808
positionID_00000102,47.6317709317
connectionType_2,47.4155655484
positionID_00006241,46.7234801156
positionID_00005728,46.5651709726
positionID_00000319,45.311267578
positionID_00002430,45.0343039306
positionID_00004479,43.7031388328
positionID_00005115,43.3747598606
positionID_00007465,42.9044581708
positionID_00006440,41.9881465249
positionID_00000003,41.9774591995
residence_00000830,41.7336636922
residence_00000147,41.4269314777
residence_00000781,40.1157454564
positionID_00000315,39.8037660456
